stage,metric,mean,record_count,summary_path,summary_sha256,stages_path,stages_sha256
early_0_9999,adaptive_1_radius_q50/global,0.31794850714,1000,reports/pr_dckd_v1_completion_2026-08-12/remote/mechanism/summary.json,a43016058b96bc68ebb560de581d0dd53b7ba9048e4ada0b2a92276092b7c04b,reports/pr_dckd_v1_completion_2026-08-12/remote/mechanism/stages.csv,6f05119ef6e84935de9128ac20c59db2e00d9bb11fe406f469a9b6751f71e949
early_0_9999,adaptive_2_radius_q50/global,0.422762760646,1000,reports/pr_dckd_v1_completion_2026-08-12/remote/mechanism/summary.json,a43016058b96bc68ebb560de581d0dd53b7ba9048e4ada0b2a92276092b7c04b,reports/pr_dckd_v1_completion_2026-08-12/remote/mechanism/stages.csv,6f05119ef6e84935de9128ac20c59db2e00d9bb11fe406f469a9b6751f71e949
early_0_9999,effective_neighbors_adaptive_0.5/global,41.1263114238,1000,reports/pr_dckd_v1_completion_2026-08-12/remote/mechanism/summary.json,a43016058b96bc68ebb560de581d0dd53b7ba9048e4ada0b2a92276092b7c04b,reports/pr_dckd_v1_completion_2026-08-12/remote/mechanism/stages.csv,6f05119ef6e84935de9128ac20c59db2e00d9bb11fe406f469a9b6751f71e949
early_0_9999,effective_neighbors_adaptive_1/global,45.1213923669,1000,reports/pr_dckd_v1_completion_2026-08-12/remote/mechanism/summary.json,a43016058b96bc68ebb560de581d0dd53b7ba9048e4ada0b2a92276092b7c04b,reports/pr_dckd_v1_completion_2026-08-12/remote/mechanism/stages.csv,6f05119ef6e84935de9128ac20c59db2e00d9bb11fe406f469a9b6751f71e949
early_0_9999,effective_neighbors_adaptive_2/global,46.3984229181,1000,reports/pr_dckd_v1_completion_2026-08-12/remote/mechanism/summary.json,a43016058b96bc68ebb560de581d0dd53b7ba9048e4ada0b2a92276092b7c04b,reports/pr_dckd_v1_completion_2026-08-12/remote/mechanism/stages.csv,6f05119ef6e84935de9128ac20c59db2e00d9bb11fe406f469a9b6751f71e949
early_0_9999,kernel_entropy_adaptive_0.5/global,0.894459620267,1000,reports/pr_dckd_v1_completion_2026-08-12/remote/mechanism/summary.json,a43016058b96bc68ebb560de581d0dd53b7ba9048e4ada0b2a92276092b7c04b,reports/pr_dckd_v1_completion_2026-08-12/remote/mechanism/stages.csv,6f05119ef6e84935de9128ac20c59db2e00d9bb11fe406f469a9b6751f71e949
early_0_9999,kernel_entropy_adaptive_1/global,0.920979783946,1000,reports/pr_dckd_v1_completion_2026-08-12/remote/mechanism/summary.json,a43016058b96bc68ebb560de581d0dd53b7ba9048e4ada0b2a92276092b7c04b,reports/pr_dckd_v1_completion_2026-08-12/remote/mechanism/stages.csv,6f05119ef6e84935de9128ac20c59db2e00d9bb11fe406f469a9b6751f71e949
early_0_9999,kernel_entropy_adaptive_2/global,0.93107606523,1000,reports/pr_dckd_v1_completion_2026-08-12/remote/mechanism/summary.json,a43016058b96bc68ebb560de581d0dd53b7ba9048e4ada0b2a92276092b7c04b,reports/pr_dckd_v1_completion_2026-08-12/remote/mechanism/stages.csv,6f05119ef6e84935de9128ac20c59db2e00d9bb11fe406f469a9b6751f71e949
middle_10000_19999,adaptive_neighbor_distance/global,0.893408288997,1000,reports/pr_dckd_v1_completion_2026-08-12/remote/mechanism/summary.json,a43016058b96bc68ebb560de581d0dd53b7ba9048e4ada0b2a92276092b7c04b,reports/pr_dckd_v1_completion_2026-08-12/remote/mechanism/stages.csv,6f05119ef6e84935de9128ac20c59db2e00d9bb11fe406f469a9b6751f71e949
middle_10000_19999,adaptive_neighbor_distance_std/global,0.0421853760921,1000,reports/pr_dckd_v1_completion_2026-08-12/remote/mechanism/summary.json,a43016058b96bc68ebb560de581d0dd53b7ba9048e4ada0b2a92276092b7c04b,reports/pr_dckd_v1_completion_2026-08-12/remote/mechanism/stages.csv,6f05119ef6e84935de9128ac20c59db2e00d9bb11fe406f469a9b6751f71e949
