experiment,method_id,method,sharing,scales,resource_regime,n,seeds,fid_mean,fid_sample_sd,is_mean_mean,is_mean_sample_sd,precision_mean,precision_sample_sd,recall_mean,recall_sample_sd,density_mean,density_sample_sd,coverage_mean,coverage_sample_sd
,global_multi,Global+Multi,global,multi,,3,"123,2026,3407",46.065261484269115,0.7887641435092266,52.50454519501279,0.9081621011360828,0.7710466666666668,0.0034281968049301734,0.16054666666666664,0.005990804064007883,1.0320853333333333,0.039927625991703165,0.40876,0.0033266800266932703
,global_single,Global+Single,global,single,,3,"123,2026,3407",46.16804466633997,1.1289873336230383,52.38549277083229,1.0684543635803911,0.7777533333333334,0.01773311403373174,0.1512,0.0057240894472396315,1.0515333333333332,0.06749681193458938,0.40640666666666664,0.013723808995076138
,local_multi,Local+Multi,local,multi,,3,"123,2026,3407",45.893536018809925,1.4610850973956806,52.75512430020269,1.5239546806648017,0.7679733333333333,0.0023440420929099173,0.17001333333333335,0.009861162879363323,1.0031506666666667,0.010157896895191117,0.40432,0.011429768151629334
,local_single,Local+Single,local,single,,3,"123,2026,3407",46.9765866430541,0.4814809727593222,50.50562616316072,0.781972865536157,0.7767,0.012426568311484887,0.15163333333333331,0.0037194802504292657,1.041884,0.06456437395344282,0.3999466666666667,0.005713154411823066
