experiment,method_id,method,sharing,scales,resource_regime,n,seeds,fid_mean,fid_sample_sd,is_mean_mean,is_mean_sample_sd,precision_mean,precision_sample_sd,recall_mean,recall_sample_sd,density_mean,density_sample_sd,coverage_mean,coverage_sample_sd
main,baseline,Fixed kernel (default),,,standard,3,"123,2026,3407",49.57037135450719,1.1845870708632142,41.61952064441182,1.4523455919326265,0.7467799999999999,0.013164360979553863,0.20582,0.01491324243751171,0.917868,0.05165558355105471,0.3680733333333333,0.006367082010884846
main,v4_3,DCKD (Global+Multi),,,standard,3,"123,2026,3407",46.065261484269115,0.7887641435092266,52.50454519501279,0.9081621011360828,0.7710466666666668,0.0034281968049301734,0.16054666666666664,0.005990804064007883,1.0320853333333333,0.039927625991703165,0.40876,0.0033266800266932703
fixed,tuned_fixed_c1,Tuned fixed kernel C1,,,standard,3,"123,2026,3407",45.03190749663103,0.81900663926399,51.34562001663934,1.4467502534092784,0.7660466666666667,0.0048951540663531535,0.19329333333333332,0.005985794294271508,0.9935933333333334,0.01553950389598504,0.40848666666666666,0.007460223410416959
factorial,local_single,Local+Single,,,standard,3,"123,2026,3407",46.9765866430541,0.4814809727593222,50.50562616316072,0.781972865536157,0.7767,0.012426568311484887,0.15163333333333331,0.0037194802504292657,1.041884,0.06456437395344282,0.3999466666666667,0.005713154411823066
factorial,local_multi,Local+Multi,,,standard,3,"123,2026,3407",45.893536018809925,1.4610850973956806,52.75512430020269,1.5239546806648017,0.7679733333333333,0.0023440420929099173,0.17001333333333335,0.009861162879363323,1.0031506666666667,0.010157896895191117,0.40432,0.011429768151629334
factorial,global_single,Global+Single,,,standard,3,"123,2026,3407",46.16804466633997,1.1289873336230383,52.38549277083229,1.0684543635803911,0.7777533333333334,0.01773311403373174,0.1512,0.0057240894472396315,1.0515333333333332,0.06749681193458938,0.40640666666666664,0.013723808995076138
resource,baseline,Fixed kernel (restricted),,,restricted,2,"123,2026",73.75307626936134,1.1704241378285716,24.668637061188644,0.03974994407099741,0.63109,0.007311484117468912,0.15781,0.012515790027001886,0.605504,0.003846660889654819,0.21673,0.0009758073580374302
resource,v4_3,DCKD (restricted),,,restricted,2,"123,2026",64.29615648219121,2.5919732788702117,32.02880043604134,1.3134595760028387,0.67404,0.00972978930912689,0.14291,0.0024748737341529184,0.693532,0.03244205912083882,0.25915,0.016362450916656727
