experiment,method_id,method,sharing,scales,resource_regime,train_seed,generation_seed,cfg_scale,num_samples,prdc_k,checkpoint_step,checkpoint_sha256,fid,is_mean,is_within_run_std,precision,recall,density,coverage,result_path,result_sha256,generation_manifest_path,generation_manifest_sha256,evaluation_manifest_path,evaluation_manifest_sha256,task_manifest_path,task_manifest_sha256
factorial,local_single,Local+Single,local,single,standard,2026,271828,2.5,50000,5,30000,7c8d0ce66853c8848348098c4308e11a4f738cbda3618924f3a4a3e9ed576183,47.024213264891216,49.99537523531451,0.661367346837854,0.78854,0.14972,1.113536,0.40534,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/local_single_seed2026_g271828_50k/results.json,bf8cf739c4037402dfe53cdd21033323eba069f834b46b1343466f09cc047075,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/local_single_seed2026_g271828_50k/generation_manifest.json,c83e1f02056e402cdbdeef70444f1e799aeb9b9b5d5ea70c2b7769d3f0d89552,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/local_single_seed2026_g271828_50k/evaluation_manifest.json,f79b922c61a5033f339dcc4400e696333a812f79c1853d387819512aa1babeb0,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/_registry/task_manifest.tsv,9dac91f3b357b0bf9122f1884bb1870f8132a4422af7ba18a1900d7f6f7b6b4f
factorial,local_single,Local+Single,local,single,standard,3407,271828,2.5,50000,5,30000,d4fcc40ca13b3ae3d3e076a9772a6488cd5122273ab3eaff1106c9d6e50eb4c4,46.47306226722401,51.405898552527084,0.8550089387523865,0.7778,0.15592,1.023892,0.40054,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/local_single_seed3407_g271828_50k/results.json,c3dca6db971486ed742ba0ef3ceb55c968c7b593cd3846154a44c5db19bba44b,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/local_single_seed3407_g271828_50k/generation_manifest.json,96c0e9c3969a0175ac2fb89b82e60fc38ef4d700c132ecf0934a07bf07cff4c0,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/local_single_seed3407_g271828_50k/evaluation_manifest.json,b94865d2e4d86003ef2039dc4b442b2e7013f8e2ae1db0333792283d25e82b36,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/_registry/task_manifest.tsv,9dac91f3b357b0bf9122f1884bb1870f8132a4422af7ba18a1900d7f6f7b6b4f
factorial,local_multi,Local+Multi,local,multi,standard,123,271828,2.5,50000,5,30000,607900dfcad0cd5123399d5a0e7201df26d79da416a47336860061809a3f4f45,47.183016886621374,51.464791020073264,0.850563507060741,0.76662,0.15884,0.993108,0.39348,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/local_multi_seed123_g271828_50k/results.json,0bfbd2ea1492f75e62469a25c1ec78781339b43ce3004d85e3f6ddd499656a19,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/local_multi_seed123_g271828_50k/generation_manifest.json,1b12cd20a51096df48c4c28b6a62a23deeacc6d4af7ae32ceef61a08c909192a,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/local_multi_seed123_g271828_50k/evaluation_manifest.json,61aa33879a91c9af5bfe5d210c4c8786f324e685d4cb46710f4702d33ecd4303,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/_registry/task_manifest.tsv,9dac91f3b357b0bf9122f1884bb1870f8132a4422af7ba18a1900d7f6f7b6b4f
factorial,local_multi,Local+Multi,local,multi,standard,2026,271828,2.5,50000,5,30000,63733b0a9eefd4920c4a782bc68020a6f4d94c56805af5bc14fe6287cedbdd0d,46.190973370936604,52.3640873461977,0.8192875535958839,0.77068,0.1737,1.002924,0.40322,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/local_multi_seed2026_g271828_50k/results.json,faed1419e1c2fd4980e71b68388584d12b513ca29c414969f52a667fbab7efba,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/local_multi_seed2026_g271828_50k/generation_manifest.json,99b1f062402d28b8720ac38c8240db5e38eed787a58e80c23405d4fcb545bbc6,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/local_multi_seed2026_g271828_50k/evaluation_manifest.json,b587c99817760d360d7f4cea795b9f0f97508f6662f4e776135bb6cecedf198a,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/_registry/task_manifest.tsv,9dac91f3b357b0bf9122f1884bb1870f8132a4422af7ba18a1900d7f6f7b6b4f
factorial,local_multi,Local+Multi,local,multi,standard,3407,271828,2.5,50000,5,30000,885789ec3912e21ebc9a6003b5cb74d8868354236eeba8b8ed44823c23e8aa0e,44.3066177988718,54.436494534337115,0.6625043431774337,0.76662,0.1775,1.01342,0.41626,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/local_multi_seed3407_g271828_50k/results.json,f1476a71f73f621fbced273144997faef34b8b9f2c0380e3aa7cb1b423f0528d,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/local_multi_seed3407_g271828_50k/generation_manifest.json,77eebca3fe2046fd73141e01bec18c3dd9325921a960ce27cb359d62ffa912c5,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/local_multi_seed3407_g271828_50k/evaluation_manifest.json,2cf8f770424a6062ccfb1118cda7809ae6569905563c0ff2621b4c1edf574c62,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/_registry/task_manifest.tsv,9dac91f3b357b0bf9122f1884bb1870f8132a4422af7ba18a1900d7f6f7b6b4f
factorial,global_single,Global+Single,global,single,standard,123,271828,2.5,50000,5,30000,93caa64442d75e089ea918295a1b1c549302a1a59b7fc064865bd3bb8e57cc9e,45.43353116008012,53.61566904853262,1.4161980952895257,0.78682,0.15518,1.095772,0.4165,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/global_single_seed123_g271828_50k/results.json,bb04e7c1a3bee9cee93fe234c789dcf2c8b68257590978c92a5f12b5b51af4e4,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/global_single_seed123_g271828_50k/generation_manifest.json,09f3e9c934392ac2d53e0fe0febaa0aeded5b9e1e0d40bfd9c1b5772534ab4df,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/global_single_seed123_g271828_50k/evaluation_manifest.json,c52a839e45d058da6a62193e078dc89819668112f578409b6e7ba0ac6565d1ac,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/_registry/task_manifest.tsv,9dac91f3b357b0bf9122f1884bb1870f8132a4422af7ba18a1900d7f6f7b6b4f
factorial,global_single,Global+Single,global,single,standard,2026,271828,2.5,50000,5,30000,967f4208d336e65cc7cbc1492152746babfae87593dd722a7784b744c47ec51a,47.468028513170225,51.6891982812975,0.605189756695856,0.75732,0.15378,0.973844,0.39078,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/global_single_seed2026_g271828_50k/results.json,29f98c23879dc3444dda6e3da50681237866f6c3997236d7e7a4e874e16d5447,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/global_single_seed2026_g271828_50k/generation_manifest.json,3b39518db8fe56cad7ca9e5c986100aee8406ac1f6bb296caf5c6acd631fb7a7,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/global_single_seed2026_g271828_50k/evaluation_manifest.json,4133b5e86102e201e1337a2547a1e0dcba4814de0badda2587aa2aa97c1eb8fa,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/_registry/task_manifest.tsv,9dac91f3b357b0bf9122f1884bb1870f8132a4422af7ba18a1900d7f6f7b6b4f
factorial,global_single,Global+Single,global,single,standard,3407,271828,2.5,50000,5,30000,6e1b2734b868764eda1dd3b54ce7d3a506cd9d9ebf890bbc0cc8fe0a4429ea2e,45.60257432576958,51.85161098266677,1.0490724731916816,0.78912,0.14464,1.084984,0.41194,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/global_single_seed3407_g271828_50k/results.json,3467ba0f6317d25672f46614c1404daf0d6a0f8361a74e4c0ab2f3144b319993,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/global_single_seed3407_g271828_50k/generation_manifest.json,2812321c63b336abdb073205299216e7b0fab7099b65716c224c1ae1c40ed4a9,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/global_single_seed3407_g271828_50k/evaluation_manifest.json,40cfafc6104bfe40c82ab7aa51786484a7badd443ca8cac2638968e0b4fe799e,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/_registry/task_manifest.tsv,9dac91f3b357b0bf9122f1884bb1870f8132a4422af7ba18a1900d7f6f7b6b4f
resource,baseline,Fixed kernel (restricted),fixed,default,restricted,123,271828,3.5,50000,5,30000,209bf9359c85bc459a99cc8f5eddcd51591461068b4441a09f2416a8a9e0cf90,74.58069111408435,24.696744516193032,0.3927718173593779,0.62592,0.16666,0.602784,0.21604,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/resource_constrained/baseline_seed123_g271828_50k/results.json,f79c979c1a0bf1f1bc3d6fa537222f47dec80968ae6e0b9b6bc836308d10e336,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/resource_constrained/baseline_seed123_g271828_50k/generation_manifest.json,b90342aec315a788adf62c5195217f2eebb4278e1fb7a93263e6bebec2e0ef26,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/resource_constrained/baseline_seed123_g271828_50k/evaluation_manifest.json,1016f9a6827b3313241352cc2d1415ba2b63c5066b2f4826369374c67cb885fc,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/resource_constrained/_registry/task_manifest.tsv,86916473d8a127d7be5c5b10040cdbaa11eb87a01b0140e75c5e574c4f3a6df7
resource,baseline,Fixed kernel (restricted),fixed,default,restricted,2026,271828,3.5,50000,5,30000,12637c4702985e48c2fab493a4d22973bc5026cbcdc051edeca42ea582cae72f,72.92546142463834,24.640529606184256,0.2666561653125371,0.63626,0.14896,0.608224,0.21742,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/resource_constrained/baseline_seed2026_g271828_50k/results.json,07ee13da33b341b0b30a70874831b5043bf3697bdad8cea8de9727154e9d732c,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/resource_constrained/baseline_seed2026_g271828_50k/generation_manifest.json,04a1aa6e64d50c3721c0a2505098fb6371206c1de4f5fa0406ae3fb41b31a03f,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/resource_constrained/baseline_seed2026_g271828_50k/evaluation_manifest.json,b72cd56608730621703dfca50f96400dd3e84446c7e1edbd49756e11e99c704f,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/resource_constrained/_registry/task_manifest.tsv,86916473d8a127d7be5c5b10040cdbaa11eb87a01b0140e75c5e574c4f3a6df7
resource,v4_3,DCKD (restricted),global,multi,restricted,123,271828,2.5,50000,5,30000,16695e87d7865ca9785059f3a15f3cff2e131c0ff88977e56b308f5a5cf02112,62.46335460004775,32.95755660904735,0.5841072851372414,0.68092,0.14466,0.716472,0.27072,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/resource_constrained/v4_3_seed123_g271828_50k/results.json,7503808adfe5d934aefadcd3c18597fabaf68ec8266e9c8ab7e7c8a1c31df74d,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/resource_constrained/v4_3_seed123_g271828_50k/generation_manifest.json,dd3f1be5af0b4ff9c4ec9975887b16e97101e262eafba8d59efb87198d493ab8,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/resource_constrained/v4_3_seed123_g271828_50k/evaluation_manifest.json,aada33f95727003a9876df03f52e6635be0ed6fbb58dbfa913a6a0ef4a2a23fb,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/resource_constrained/_registry/task_manifest.tsv,86916473d8a127d7be5c5b10040cdbaa11eb87a01b0140e75c5e574c4f3a6df7
resource,v4_3,DCKD (restricted),global,multi,restricted,2026,271828,2.5,50000,5,30000,8daa0960e891cc30cf4dd2bc08057ab1c1de3cfe0cf9b12bfd6ebc2eecb2600f,66.12895836433466,31.100044263035322,0.4295378343964604,0.66716,0.14116,0.670592,0.24758,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/resource_constrained/v4_3_seed2026_g271828_50k/results.json,9ff644a646feea6c7ed275986ca4d5a7c229eda79cbdf16e452e264e7f5d73d0,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/resource_constrained/v4_3_seed2026_g271828_50k/generation_manifest.json,4bfa2097ef6c13956695310cf0a4e87ea41f0bc76b06610867d1a5a280d18efb,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/resource_constrained/v4_3_seed2026_g271828_50k/evaluation_manifest.json,fc158895a72467584e54cd16614999f4859f9f538505c6e6c7e9ae180710184b,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/resource_constrained/_registry/task_manifest.tsv,86916473d8a127d7be5c5b10040cdbaa11eb87a01b0140e75c5e574c4f3a6df7
