method_id,method,train_seed,repeat,job_id,train_steps,train_batch_size,positive_bank_size,negative_bank_size,started_at,finished_at,wall_seconds,wall_hours,gpu_hours,steps_per_second,training_samples_per_second,profile_tflops_per_step,profile_traffic_gb,profile_arithmetic_intensity,profile_peak_memory_gb,profile_weight_memory_mb,profile_activation_memory_mb,host,config_sha256,scheduler_log_path,scheduler_log_sha256,run_manifest_path,run_manifest_sha256,task_manifest_path,task_manifest_sha256
baseline,Fixed kernel,123,1,35650,30000,8,64,512,2026-08-10 22:37:47,2026-08-11 04:11:35,20028.0,5.5633333333333335,5.5633333333333335,1.4979029358897544,11.983223487118035,1.12,286.6,3.9178,40.595,3489.45,34982.45,gpu02,3a144c49f89b39f56bd93d7aaa32ed5d338b5fe68837a4fab00a8eb36a7f1f02,reports/pr_dckd_v1_completion_2026-08-12/remote/logs/efficiency_full_training/dpr-eff-tr-b-s123-r1.35650.out,288196ec38b8d16fb69a51c606d01dc167ba23d00a47ace4092244fe32a3a4c3,reports/pr_dckd_v1_completion_2026-08-12/remote/efficiency/full_training/baseline_seed123_repeat1/run_manifest.json,e420aa7c568431c98b959735248a613ddbe4c40fba14b861eae828232be7a998,reports/pr_dckd_v1_completion_2026-08-12/remote/efficiency/full_training/_registry/task_manifest.tsv,dabffb8441d078bd631b4babdd6feeb51b440d9f525e76235e0ecfccfe902c97
v4_3,DCKD (Global+Multi),123,1,35651,30000,8,64,512,2026-08-11 01:22:44,2026-08-11 09:13:48,28264.0,7.851111111111111,7.851111111111111,1.061420888763091,8.491367110104727,1.12,286.55,3.9186,40.627,3489.45,35014.55,gpu02,a5d322d7b7f29ec8f5b924d64d90fdbfcfe91438c5b198765710c522a3e1728f,reports/pr_dckd_v1_completion_2026-08-12/remote/logs/efficiency_full_training/dpr-eff-tr-v43-s123-r1.35651.out,2c56f6b5b3cd306ea7a484734797e3053ab12c44d28eaa1726e0cf71e0642a6c,reports/pr_dckd_v1_completion_2026-08-12/remote/efficiency/full_training/v4_3_seed123_repeat1/run_manifest.json,919bfd789ab835f9c450f02536870a7854c22c34cfaf4dc5fbd4e2a308e41c73,reports/pr_dckd_v1_completion_2026-08-12/remote/efficiency/full_training/_registry/task_manifest.tsv,dabffb8441d078bd631b4babdd6feeb51b440d9f525e76235e0ecfccfe902c97
