experiment,method_id,method,sharing,scales,resource_regime,n,seeds,fid_mean,fid_sample_sd,is_mean_mean,is_mean_sample_sd,precision_mean,precision_sample_sd,recall_mean,recall_sample_sd,density_mean,density_sample_sd,coverage_mean,coverage_sample_sd
,baseline,Fixed kernel (restricted),,,restricted,2,"123,2026",73.75307626936134,1.1704241378285716,24.668637061188644,0.03974994407099741,0.63109,0.007311484117468912,0.15781,0.012515790027001886,0.605504,0.003846660889654819,0.21673,0.0009758073580374302
,v4_3,DCKD (restricted),,,restricted,2,"123,2026",64.29615648219121,2.5919732788702117,32.02880043604134,1.3134595760028387,0.67404,0.00972978930912689,0.14291,0.0024748737341529184,0.693532,0.03244205912083882,0.25915,0.016362450916656727
