experiment,method_id,method,sharing,scales,resource_regime,n,seeds,fid_mean,fid_sample_sd,is_mean_mean,is_mean_sample_sd,precision_mean,precision_sample_sd,recall_mean,recall_sample_sd,density_mean,density_sample_sd,coverage_mean,coverage_sample_sd
,baseline,Fixed kernel (default),,,,3,"123,2026,3407",49.57037135450719,1.1845870708632142,41.61952064441182,1.4523455919326265,0.7467799999999999,0.013164360979553863,0.20582,0.01491324243751171,0.917868,0.05165558355105471,0.3680733333333333,0.006367082010884846
,v4_3,DCKD (Global+Multi),,,,3,"123,2026,3407",46.065261484269115,0.7887641435092266,52.50454519501279,0.9081621011360828,0.7710466666666668,0.0034281968049301734,0.16054666666666664,0.005990804064007883,1.0320853333333333,0.039927625991703165,0.40876,0.0033266800266932703
,tuned_fixed_c1,Tuned fixed kernel C1,,,,3,"123,2026,3407",45.03190749663103,0.81900663926399,51.34562001663934,1.4467502534092784,0.7660466666666667,0.0048951540663531535,0.19329333333333332,0.005985794294271508,0.9935933333333334,0.01553950389598504,0.40848666666666666,0.007460223410416959
